Topic,Count,Name,Representation,Representative_Docs
57,15,57_property_properties_lambda_rootnamespace,"['property', 'properties', 'lambda', 'rootnamespace', 'public', 'empty', 'sets', 'expression', 'constructor', 'explicit']","['There should be a negative test case for this as well. What happens if we have an empty class with no public constructor, since there is special logic around no properties.', 'Removed the redundant empty check for RootNamespace. Since the PropertyGroup condition on line 45 ensures this block only executes when RootNamespace is empty, and line 47 immediately sets it to a non-empty value, the check is unnecessary. Commit 114678a.', 'If there is a public constructor that does not accept all non-public properties, that should still be flagged. Example: [CODE_BLOCK] In this example, there is no way to set the [CODE] property, so a model factory is needed.']"
58,15,58_url_http_tcp_httpclient,"['url', 'http', 'tcp', 'httpclient', 'internet', 'documents', '404', 'btw', 'within', 'links']","[""you are assuming that all embeddings providers's url has the same format. It might not be totally truth. I think we don't need this method, please drop it and then use the provided byt config or env var"", ""I mean, I could change this, but the default URL that's already entered is http://localhost: 11434/api and does not have a trailing slash, so I think it's somewhat unnecessary. That said, just lemme know if you'd prefer I update it."", '@copilot you are unable to access the internet due to the firewall rules. Please undo all URL changes that point at the internet, and instead focus on making sure there are no broken links within the HTML documents that point to anchors within the documents themselves.']"
59,15,59_null_nullable_existence_exist,"['null', 'nullable', 'existence', 'exist', 'protocol', 'returned', 'eliminate', 'liam', 'idrectly', '2058cacc0f2a83e932ddde6ece0f30766b197a7f2d42b3506be73b24adf87c4cr197']","['null should not exist. Eliminate the use of [CODE] should be implemented so as not to use it, eliminating unnecessary existence checks.', 'null should not exist. Please eliminate unnecessary existence checks too. https://github.com/liam-hq/liam/pull/1302/files#diff-2058cacc0f2a83e932ddde6ece0f30766b197a7f2d42b3506be73b24adf87c4cR197', 'null should not exist!']"
60,15,60_comment_meaningless_removed_profoundly,"['comment', 'meaningless', 'removed', 'profoundly', 'unnecessary', 'forgot', 'comments', 'incorrect', 'add', 'was']","['Comment removed.', 'Profoundly meaningless comment.', 'Meaningless comment.']"
61,14,61_heading_h1_code_block_title,"['heading', 'h1', 'code_block', 'title', 'helpful', 'too', 'csv', 'occasion', 'wordy', 'paring']","['This heading is too long. What about [CODE_BLOCK]', ""[CODE_BLOCK] I feel that generated text like this often gets too wordy or overclaims on occasion. I think if we have a workflow of seeing what's generated and then paring it down a bit would work though."", '[CODE_BLOCK] This would currently lead to a duplicated title. Because if [CODE] in Frontmatter is set it will use that to render the h1 heading. It doesn\'t ""know"" that we are rendering another h1 heading ourselves']"
62,14,62_nitpick_assertion_assertions_duplicate,"['nitpick', 'assertion', 'assertions', 'duplicate', 'removing', 'streamline', 'bp', 'vltpkg', 'translations', 'trailing']","[""[nitpick] There's a duplicate assertion for [CODE] in this test. Consider removing one of them to avoid redundant checks. [CODE_BLOCK]"", '[nitpick] There appears to be a duplicate assertion for the bp 2000 context block. Consider removing one of the duplicate assertions to streamline the test. [CODE_BLOCK]', '[nitpick] There appears to be a duplicate assertion for the bp 1000 context block. Consider removing one of the duplicate assertions to streamline the test. [CODE_BLOCK]']"
63,14,63_happened_file_reset_added,"['happened', 'file', 'reset', 'added', 'checked', 'eol', 'readme_logic_extractor', 'versioned', 'librarynodeexpansionpass', 'gen']","[""This file doesn't have the correct content in it. It should have the same exact content from the IngestionSetup.kql file for the versioned tables, functions, etc."", 'Again, not sure what happened here but we should not have removed this file, please reset it.', ""I'm not sure what happened here but we should not have removed this file, please reset it.""]"
64,14,64_ai_notprovided_hallucinated_classic,"['ai', 'notprovided', 'hallucinated', 'classic', 'detector', 'hallucinating', 'infinitesimal', 'blow', 'jamescrosswell', 'precedent']","['Infinitesimal nit - IMO this is over-commented, and it might be good to avoid the precedent for future AI changes', ""This section is mostly to tell the AI, which can't follow links (well the OpenAI one can't, the Google one can, but it's worse at its job). I can add the link in addition though."", ""This doesn't exist. The AI hallucinated""]"
65,14,65_lines_separators_duplicates_superfluous,"['lines', 'separators', 'duplicates', 'superfluous', 'these', 'leave', 'e24ed5c', 'neeeded', 'do', 'remove']","['Remove these lines, they are duplicates', 'Do not remove this lines.', 'remove these lines']"
66,13,66_function_space_grade_letter,"['function', 'space', 'grade', 'letter', 'cann', 'preprocessor', 'customer', 'continues', 'convention', 'func']","['[CODE] is a letter grade like ""A"" so it shouldn\'t be passed into this function', 'This function is way too nested; use a more Go-like style with early breaks and continues', ""You can just write [CODE] Note the space between the two '(', there is a bug in the preprocessor that cann't handle more than one '([CODE] so you need a space there to prevent errors.""]"
67,13,67_comment_delete_don_commenting,"['comment', 'delete', 'don', 'commenting', 'add', 'stale', 'addressed', 'hasn', 'reference', 'rather']","[""don't delete this comment"", ""don't delete this comment"", ""Don't delete this comment.""]"
68,13,68_resources_name_too_score,"['resources', 'name', 'too', 'score', 'bikeshedding', 'esbuild', 'cardcoded', 'how', 'bundled', 'myself']","['I want all the examples to out there code in a separate file and pass a reference. Then it will be bundled with esbuild. Including them as strings is not a good design.', 'This is too focused, and unnecessary. We really only need to verify that [CODE] is mentioned only when the rename-detection score is high enough.', ""@claude i don't really like how we add [CODE] as a prefix to all these resources. Let's just make it [CODE], for example. Please update all the other resources to follow this standard too.""]"
69,13,69_alt_img_attachments_assets,"['alt', 'img', 'attachments', 'assets', 'image', 'width', 'height', 'images', 'src', 'user']","['@mitchdenny This error message is incorrect when you set overrideMinimumSdkVersion. <img width=""2574"" height=""804"" alt=""image"" src=""https://github.com/user-attachments/assets/591d2e7b-2531-438c-80e5-45efa16bd0d3"" />', 'To me, it feels too complicated. Because [CODE] and [CODE] do the same, I don\'t see a reason why both should be kept. Could we consider something in this direction? <img width=""985"" height=""507"" alt=""image"" src=""https://github.com/user-attachments/assets/6797a279-e5be-4491-bc00-acf97edc4075"" />', 'Are you really sure @Copilot that is the case? The style is not applied it seems (top is store version, bottom is your PR) <img width=""674"" height=""1138"" alt=""image"" src=""https://github.com/user-attachments/assets/0488387d-ec07-4eff-82a8-791c720b03b1"" />']"
70,13,70_truncation_code_character_word,"['truncation', 'code', 'character', 'word', 'incorrectly', 'hovering', 'bom', 'excel', '30679a9', '5411805']","[""You're absolutely right - the [CODE] line is unnecessary since Excel's default value for DisplayAlerts is already true and the samples never set it to false. I've removed this redundant line from all the cleanup examples. Fixed in commit 5411805."", ""It turns out that this fix isn't perfect either. Take a look at [CODE]'s [CODE] function. The issue seems to be that [CODE] is incorrectly calculated because [CODE] should have taken [CODE] instead of [CODE], and the [CODE]'s [CODE] should have been [CODE] and not [CODE]."", 'Fixed in commit 30679a9. The issue was in the expression truncation logic - when hovering over the first character of [CODE], it was incorrectly truncating at the word boundary after [CODE]. Added special handling for the non-null assertion operator to prevent truncation when a word is immediately followed by [CODE].']"
71,13,71_calculation_timeout_duration_backoff,"['calculation', 'timeout', 'duration', 'backoff', 'broadcast_event', 'waitformultipleobjects', 'exponential', 'delay', 'delays', 'seconds']","[""The current implementation has a race condition. After WaitForMultipleObjects returns, there's no way to distinguish whether it was woken by signal_event or broadcast_event, and the broadcast_event is reset immediately after SetEvent, which could cause threads to miss the broadcast if they haven't reached WaitForMultipleObjects yet. [CODE_BLOCK]"", 'Calling updateTrayRunningTime without passing elapsedSecs means trayUpdateCounter is never incremented on duration changes, delaying updates indefinitely until forced; consider passing the actual elapsed seconds (e.g., 1) or computing the delta inside the function. [CODE_BLOCK]', '[nitpick] The timeout value of 1100ms (1.1 seconds) is longer than the original 1 second timeout, which seems counterintuitive for fixing a timing issue. Consider using a shorter duration like 900ms or add a comment explaining why a longer timeout is needed to fix the interruption test. [CODE_BLOCK]']"
72,13,72_compileroptions_help_fsi_40,"['compileroptions', 'help', 'fsi', '40', 'compilation', 'typespec', 'generator', 'shader', 'failed', 'generated']","['the updated [CODE] has some scenarios that we did not support yet (nested nextlink property). Now this project cannot successfully generate therefore I have to disable it for now. Tracking in this issue: https://github.com/microsoft/typespec/issues/8009', ""The generated model factory is missing from the new TypeSpec generator output. In commit 7ebcb9e~1, there was an auto-generated [CODE] file that provided basic factory methods. The new generator isn't producing this file, only allowing for manually maintained stubs with CodeGenType attributes. Created a stub at 2aaf975 but investigation needed to determine why the generator doesn't create the auto-generated version."", 'This option is now available for help, hence the following 4 tests are failing: CompilerOptions\\fsi\\help (-?-40) -- failed CompilerOptions\\fsi\\help (--help-40) -- failed CompilerOptions\\fsi\\help (/?-40) -- failed CompilerOptions\\fsi\\help (-? --nologo-40) -- failed They are part of the FsharpQa suite. This can help you, the new lines are added between clearResultsCache and exec options: [CODE_BLOCK]']"
73,13,73_comments_comment_low_information,"['comments', 'comment', 'low', 'information', 'felt', 'left', 'remove', 'over', 'ones', 'statement']","['remove low-information comment', 'remove low-information comment', 'Remove these comments.']"
74,13,74_dont_its_used_deel,"['dont', 'its', 'used', 'deel', 'si', 'nothing', 'remove', 'def', 'need', 'tizen']","['Remove this, its not used u dont need it', 'Remove this, its not used u dont need it', 'Remove this, its not used u dont need it']"
75,12,75_timeout_anymore_dont_think,"['timeout', 'anymore', 'dont', 'think', 'v2', 'able', 'need', 'fallback', 'lopez', 'ignorred']","['i dont think you need this timeout anymore', 'i dont think you need this timeout anymore', 'i dont think you need this timeout anymore']"
76,12,76_keep_before_wrong_using,"['keep', 'before', 'wrong', 'using', 'like', 'arrows', 'crawlstart', '_any_', 'questions', 'correctly']","['Wrong, you should keep using [CODE] like before', 'Wrong, you should keep using [CODE] like before', 'Wrong, you should keep using [CODE] like before']"
77,12,77_entry_delete_needed_longer,"['entry', 'delete', 'needed', 'longer', 'checklist', 'considerations', '156', '157', 'guidlines', 'tickets']","['This entry is no longer needed. Delete it', 'This entry is no longer needed. Delete it', 'This entry is no longer needed. Delete it']"
78,12,78_match_compare_string_character,"['match', 'compare', 'string', 'character', 'regex', 'strings', 'keyed', 'clarification', 'comparisons', 'guards']","[""I'd prefer a boolean saying if it's [CODE] or [CODE]. Took me a while to realise that the rule doesn't support other compare operators"", ""seems like this would match [CODE], not sure if that's desirable or if something else guards against that it would also match [CODE] (and _not_ match [CODE]), which seems sketchy finally, it would not match [CODE]"", 'The while loop with string.Contains and string.Replace for handling consecutive dots is inefficient. Consider using a regex replacement or a single pass algorithm for better performance: [CODE] or implement a single-pass character-by-character approach.']"
79,12,79_rust_undefined_converted_err,"['rust', 'undefined', 'converted', 'err', 'probably', 'attempted', 'won', 'app', 'stream', 'checking']","[""This code probably doesn't need any checks does it? Won't the Rust code return an Err if undefined is attempted to be converted into an Object or Function? If so, just remove all of these changes."", ""This code probably doesn't need any checks does it? Won't the Rust code return an Err if undefined is attempted to be converted into an Object or Function? If so, just remove all of these changes."", ""This is not avoiding checking our code, it's avoiding checking the types of libraries in use. It is common to do so unless your app is a critical production app, which is not the case here. Type checking the whole node-modules is overengineering, for a product that will simply lag then restart if one of the type in the three was used wrong. If your app is a production app and a crash will lead to loses of 1M$, you should double-check every package you use. The Rust code should be validated profoundly, as it can crash the user's entire system, and while not horrible, it is a big bug for a tool. But the dependencies used for the VS Code plugin can have a regular check, and a deep check is an overkill. In case we choose to do check libs, the results will not be upgrading to 24, as it will take time until all libs are aligned with the new rules, and we lose the performance edge. So, as you see right. My position is to skip lib check. @cordx56 please give your opinion as well on the matter. Edit: You don't need to listen to the gentleman below, I didn't ask for his opinion. I'm also not sure if I'm excited to see that copilot repeat what is said, or that it means that I'm going to be replaced ;p""]"
80,12,80_address_copilot_feedback_evan,"['address', 'copilot', 'feedback', 'evan', 'forbes', 'reply', 'did', 'comment', 'anything', 'question']","['@Copilot Address this comment please.', '@copilot can you address this comment?', '@copilot can you address this comment?']"
81,12,81_errunavailable_failing_characters_gpu,"['errunavailable', 'failing', 'characters', 'gpu', 'test', 'tests', 'errors', 'fail', 'fix', '100']","[""I really want to believe you, @swernli, but changing the code to what you suggested does _not_ in fact make the tests pass, which is why I spiraled on this for so long. Now you may still be right that there's a simpler solution, but something is definitely checking for entrypoint errors, at least still in the unit tests. I'll dig deeper."", 'Fixed the failing test case. The issue was that the test strings were only 90 characters long, but the test expected them to be truncated to 100 characters. Updated the test to use strings that are actually longer than 100 characters (117 chars) so they properly trigger the truncation and hash logic. Commit: 7433ef4', 'Actually this should just be a simple check to block on _all_ errors, not just these errors. No need to be extremely conservative here. I think all of these block execution in the end. This may indeed break existing tests. But the best thing to do is probably to make the minimal changes to get those tests to pass. Why were those tests failing? Did the test Q# have compiler errors? That was probably not intended - can you fix them?']"
82,12,82_unused_parameter_cache_token,"['unused', 'parameter', 'cache', 'token', 'parameters', 'necesssary', 'supplying', 'refreshes', 'revive', 'lg']","[""What's the reason for this? Wouldn't they be added to the cache once they are used? Also, I don't see how these are being added to the cache. The return value is ignored."", 'This new parameter seems to be unused?', ""unused-parameter: parameter 'l' seems to be unused, consider removing or renaming it as _ (revive)""]"
83,12,83_cloudflare_construction_cli_redefinition,"['cloudflare', 'construction', 'cli', 'redefinition', 'shall', 'mount', 'kernel', 'during', 'initialization', 'platforms']","[""I don't think this is true, see https://developers.cloudflare.com/cloudflare-for-platforms/workers-for-platforms/get-started/configuration/ [CODE_BLOCK]"", 'When xload component is plugged in the pipeline, it mount the file-system in ""ro"" mode where kernel shall not even allow any write file operations on the mount path. We need not implement all these methods as kernel shall be blocking all such operations.', 'According to the issue report (#2523), the problem occurs during construction - simply creating [CODE] without even calling [CODE] triggers both the property redefinition error and the rendering blocking. The stack trace from the issue indicates that the error happens during initialization. The construction phase in both AISKU and AISKULight uses dynamicProto to set up instance methods, which is likely when the property redefinition error occurs in Cloudflare Worker. This suggests that the construction itself, specifically the dynamicProto usage during initialization, is the root cause.']"
84,12,84_feed_milestone_oracle_pr,"['feed', 'milestone', 'oracle', 'pr', 'pyth', 'setting', 'wrapped', 'few', 'keys', 'intended']","[""There are a few places I couldn't comment on because they're not included in these changes where a few lists are wrapped with ``` as if it were code and I'm not sure they need to be. Here's the section names for those: - **Check Policy Impact:** [Line 336] - **Minimum Required Information to Gather:** [Line 355] - **Escalation Path:** [Line 369]"", 'This is more on Pyth for calling the oracles ""feeds"" that have a ""feed id"" while we call them ""oracle"". The language confuses me too idk what\'s a better name', ""It's probably to do with weird naming but it is confusing from the outside that we're checking the [CODE] is equal to the [CODE] when the purpose of the PR is migrate away from storing the feed address in the oracle keys list. This is more to do with my unfamiliarity with the pyth oracle keys + feed address system""]"
85,11,85_casting_cast_nullable_null,"['casting', 'cast', 'nullable', 'null', 'delegate', 'sense', 'types', 'type', 'without', 'devinai']","[""@copilot : It does not make sense casting to nullable types. Cast just to 'Delegate , without the | null ."", ""@copilot : It does not make sense casting to nullable types. Cast just to Handler<'T> , without the | null ."", ""@copilot : It does not make sense casting to nullable types. Cast just to Handler<'T> , without the | null .""]"
86,11,86_condition_dumb_isnullable_always,"['condition', 'dumb', 'isnullable', 'always', 'false', 'pointless', 'ugly', 'conditions', 'redundant', 'if']","['isNullable is always false', 'isNullable is always false', 'this is dumb. get rid of the if condition']"
87,11,87_ci_toml_toolchain_wgsl,"['ci', 'toml', 'toolchain', 'wgsl', 'links', 'seconds', 'fix', 'config', 'version', 'platform']","['This line failed CI. CI checks for relative links and enforces absolute links. Here are the errors. Please fix this issue in both markdown files as 2 broken links were introduced. Thank you. [CODE_BLOCK]', 'Looks like the CI uses the merged version of config.toml. Maybe you need to rename config.stable.toml to config.toml to fully fix this on CI.', 'Fix the ci failure for [CODE].']"
88,11,88_useless_test_portion_mistaken,"['useless', 'test', 'portion', 'mistaken', 'device', 'pytest', 'pr', 'driver', 'gh', 'passes']","[""I was mistaken; this test passes even without this PR's change. Add a test which would have failed before this PR's fix."", ""They aren't, it generated them from the issue. Some of the tests do fail, but I haven't checked that all do without the PR."", 'This test is useless, it simply duplicates the logic from the Driver class. Either remove it or implement a proper test.']"
89,11,89_function_func_conversations_usages,"['function', 'func', 'conversations', 'usages', 'remove', 'accordingly', 'upstream', 'hook', 'assigned', 'compile']","[""this doesn't compile, remove it, keep it only in the update func"", 'Remove this function.', 'remove this function']"
90,11,90_msbuildterminallogger_terminal_logger_dynamicproto,"['msbuildterminallogger', 'terminal', 'logger', 'dynamicproto', 'expects', 'false', 'msgpackr', 'ssr', 'terminallocallinkdetector', 'enable']","['The comment states MSBUILDTERMINALLOGGER=false but the PR title and description indicate it should be set to ""1"" to enable the terminal logger. The comment is inconsistent with the stated requirements. [CODE_BLOCK]', 'The test expects MSBUILDTERMINALLOGGER to be ""false"" but according to the PR description, it should be ""1"" to enable the terminal logger. This test validates incorrect behavior. [CODE_BLOCK]', 'The implementation sets MSBUILDTERMINALLOGGER to ""false"" but the PR description states it should be set to ""1"" to enable the terminal logger. This contradicts the stated goal of enabling consistent terminal logger behavior. [CODE_BLOCK]']"
91,11,91_class_plaintoclass_camunda_basedataset,"['class', 'plaintoclass', 'camunda', 'basedataset', 'r2224741728', 'fils', '35632', 'subclassed', 'missing', 'role']","[""I don't expect that this class is meant to be subclassed. So make it final and the fields private."", ""These roles should NOT be configurable because we don't want to allow overrides. To make it safer, can you hard-code them in this class?"", 'This class is unnecessary when implemented as suggested [above](https://github.com/camunda/camunda/pull/35632/files#r2224741728).']"
92,11,92_file_delete_emacs_samples,"['file', 'delete', 'emacs', 'samples', 'remove', 'folder', 'show', 'whole', 'message', 'this']","['Delete this file.', 'Delete this file.', 'Delete this file.']"
93,10,93_braces_copilot_curl_line,"['braces', 'copilot', 'curl', 'line', '130', 'mermaid', 'quotes', 'curly', 'newline', 'remove']","['@copilot remove this line', '@copilot remove the unnecessary curly braces', '@copilot remove the unnecessary curl braces']"
94,10,94_copilot_goos_unusefile_autogenerated,"['copilot', 'goos', 'unusefile', 'autogenerated', 'file', 'continue', 'delete', 'analysis', 'focus', 'folder']","['@copilot continue removing documentation of GOOS', '@copilot delete this file.', '@copilot remove this file']"
95,10,95_getall_usermodel_classify_model,"['getall', 'usermodel', 'classify', 'model', 'request', 'validation', 'fallback', '7fb0541', 'requesttypes', 'indicators']","['This violates the separation between SMA and SMAAnalysis since they are separate indicators. They shouldn’t share a partial class, even though analysis may inherit the SmaResult class.', ""This fixes the type error, but seems wrong to me. The UserModel is not what getAll actually needs to send the request. We just didn't define a type for the request(s) yet."", ""In this case it's kind of both. Because getAll doesn't really need info for the model except the query the type that is expected by getAll originally failed (UserModel). But we don't need a UserModel class for the request. We have similar issues all over the other services. What we would need to do is separate output types and RequestTypes. Very often they are not the same.""]"
96,10,96_savevariableexportsettings_saving_call_all,"['savevariableexportsettings', 'saving', 'call', 'all', 'smart', 'interestingly', 'repacking', 'usable', 'unpacked', 'pointing']","['we can call saveVariableExportSettings instead of all this', 'we can call saveVariableExportSettings instead of all this', 'we can call saveVariableExportSettings instead of all this']"
97,10,97_deleted_why_file_tells,"['deleted', 'why', 'file', 'tells', 'was', 'wrote', 'matches', 'complicated', 'deleting', 'location']","['Why was this file deleted?', 'Why was this file deleted?', 'Why was this file deleted?']"
98,10,98_console_clutter_automated_statements,"['console', 'clutter', 'automated', 'statements', 'log', 'output', 'testing', 'necessary', 'they', 'test']","['Console.log statements should be removed from test code as they can clutter test output and are not necessary for automated testing. [CODE_BLOCK]', 'Console.log statements should be removed from test code as they can clutter test output and are not necessary for automated testing. [CODE_BLOCK]', 'Console.log statements should be removed from test code as they can clutter test output and are not necessary for automated testing. [CODE_BLOCK]']"
99,10,99_why_thes_cursoragent_been,"['why', 'thes', 'cursoragent', 'been', 'away', 'removed', 'tell', 'did', 'come', 'has']","[""Where did this come from? Don't include thes right now."", 'Why has this been removed?', 'Why has this been removed?']"
100,10,100_needed_foundation_div_wrapper,"['needed', 'foundation', 'div', 'wrapper', 'nope', 'remove', 'removed', 'extra', 'explain', 'required']","['Remove this, not needed', 'This is not needed. Remove it.', ""We don't need this wrapper div, please remove it.""]"
101,10,101_factory_azc0035_violations_azd,"['factory', 'azc0035', 'violations', 'azd', 'destroy', 'exclude', 'model', 'goroutine', 'operation', 'backgrounding']","[""Don't exclude violations of AZC0035. Instead, add the model factory method"", ""Don't exclude violations of AZC0035. Instead, add the model factory method"", ""@Copilot The changes did not address the concerns raised by @vbhb1989 . The goroutine is launched separately, program will continue and exit, resulting in the spawwned goroutine here ending prematurely. This results in bugs of either: the destroy operation never runs, the destroy operation runs partially, the destroy operation does not invalidate the environment keys. With how azd is designed currently, I'm not sure if there is a straightforward implementation here that isn't already solved by existing Bash and Powershell backgrounding techniques. The cli currently needs to waits for the destroy operation to succeed to invalidate the env keys.""]"
102,10,102_changelog_md_site_formatting,"['changelog', 'md', 'site', 'formatting', 'breaking', 'docusaurus', 'concern', 'packaged', 'neon', 'selectable']","['This formatting is wrong. Please move the new changelog line below the line break and formatting on line 155. Do this for all the .md files. Feel free to commit directly to this branch.', ""don't modify the CHANGELOG.md"", ""The import path '@site/../CHANGELOG.md' may not resolve correctly in Docusaurus. Use '@site/CHANGELOG.md' to reference the root changelog file directly. [CODE_BLOCK]""]"
103,10,103_exported_exports_export_download,"['exported', 'exports', 'export', 'download', 'liam', 'restore', 'branch', 'admins', '2786', 'owners']","['https://nextjs.org/docs/app/guides/static-exports#unsupported-features headers are not supported in export mode.', ""I don't think we want download in this list -- project owners and staff members (not just admins) need to be able to download bulk exports."", 'I\'m having a difficult time groking the ""production_from_snapshot"" item. I guess the idea here is that we now: - support restore from snapshots (is this - if you restore your production branch, you\'ll get a ""productions_from_snapshot"" branch I\'d suggest leaving this one out for now.']"
104,10,104_generic_original_ports_port,"['generic', 'original', 'ports', 'port', 'documentation', 'informative', 'descriptive', 'represents', 'indexer', 'tieline']","[""Lost valuable documentation. Original comment 'Basically a List , with an indexer to find ports by key name' was more informative than the generic replacement. [CODE_BLOCK]"", ""The new generic documentation is less informative than the original comment which explained this is 'Basically a List with an indexer to find ports by key name'. The original provided valuable implementation details. [CODE_BLOCK]"", ""[nitpick] Generic documentation 'Represents a TieLineCollection' is less informative than the original. The original documentation provided context about it being a collection of TieLine objects, which was more descriptive. [CODE_BLOCK]""]"
105,10,105_drop_relevant_irrelevant_take,"['drop', 'relevant', 'irrelevant', 'take', 'churn', 'note', 'unneeded', 'repetitive', 'its', 'super']","['Drop this note, seems irrelevant', 'Drop, its not super relevant', 'Drop - not relevant']"
106,10,106_airframe_config_airbyte_2726081052,"['airframe', 'config', 'airbyte', '2726081052', '55780', 'airbytehq', 'apps', 'bind', 'd12f0e8', 'abctl']","['This looks wrong. The doc says: # With a path to a configuration file cargo --config ./path/to/my/extra-config.toml', ""Adding a new parameter to the case class will break binary compatibility and caused compilation errors as airframe depends on airframe/airspec. Let's give up showing the code fragment"", 'We no longer recommend using airframe-config. Write examples without using .yml files and airframe-config module']"
107,10,107_catch_try_exception_eat,"['catch', 'try', 'exception', 'eat', 'innerexception', 'securityerror', 'layers', 'canaccessstorage', 'safari', 'un']","['Should not be wrapped in the try/catch', ""Any reason to have this in a try-catch if it's already in the scope of another try-catch when it'll just fail silently and eat the exception here?"", ""You're right - this nested try-catch is redundant. The purpose was to isolate the direct property access attempt that could throw a SecurityError in Safari, but since we're already in an outer try-catch that would handle any exception, and we're just using the exception to determine if storage is accessible, we could simplify this code. I'll update it to remove the unnecessary nesting.""]"
108,10,108_hitslop_yarn_directions_fabric,"['hitslop', 'yarn', 'directions', 'fabric', 'lock', 'number', 'giving', 'same', 'touch', 'passing']","['Removed the hitSlop test as requested since hitSlop is not supported on fabric. Commit: b060bba', 'When hitSlop is the same in all directions it can be passed with just a number giving the same behavior as passing an object with all the directions as same number. please fix this.', 'When hitSlop is the same in all directions it can be passed with just a number giving the same behavior as passing an object with all the directions as same number. please fix this.']"
109,10,109_fixed_no_trouble_installer,"['fixed', 'no', 'trouble', 'installer', 'shoot', 'patch', 'outdated', 'size', 'ok', 'whether']","['No, this is not fixed.', 'No, this is not fixed.', 'No, this is not fixed.']"
110,9,110_case_edge_occur_test,"['case', 'edge', 'occur', 'test', 'care', 'tested', 'enum', 'integration', 'such', 'cases']","['remove this test case', 'remove this test case', 'remove this test case']"
111,9,111_delete__deprecatedcreatehash_test_transaction_hash_collision_for_near_implicit_account_ok_asserts,"['delete', '_deprecatedcreatehash', 'test_transaction_hash_collision_for_near_implicit_account_ok', 'asserts', 'test', 'deleted', 'use', 'tests', 'all', 'these']","['Delete this test', 'Delete this test.', 'Delete this test']"
112,9,112_fees_fee_wallet_min_balance,"['fees', 'fee', 'wallet', 'min_balance', 'accrued', 'withdraw', 'manager', 'keeper', 'withdrawal', 'balance']","[""well, the flip side of that is if the designated fee manager keeper is down, then the fees won't get adjusted. You really want both replicas to be symmetric. Also, the fee adjustment runs on a 30 second polling interval, so you're fairly unlikely to get a confilct."", 'also I just realized that you need the fee manager wallet for [CODE] as well. only the fee manager can set the current fees :( this is actually going to add some complexity to the fee withdrawal logic, as we also need to make sure the fee_manager wallet has a sufficient balance.', ""btw this min_balance minimum withdrawal has actually caused outages in the past. If for whatever reason, the accrued fees aren't > min_balance (often this is a misconfiguration of the chain), the keeper wallet runs out of funds even though there's money to withdraw in accrued fees. let me suggest changing this to [CODE]. I.e., you can withdraw a tiny amount from the contract, as long as you're at least doubling the balance in your wallet. That should naturally limit the number of withdrawals in the case where the accrued fees are below the min_balance""]"
113,9,113_packet_ic_api_failures_directory,"['packet', 'ic_api', 'failures', 'directory', 'causing', 'cs', 'b6073da', '81dc5ff', 'callbacks', '457']","['Removed the ErrorTest160 calls from ParserErrorsTests.cs as they are unnecessary - older version rejection is already covered in Only170SyntaxTests. (commit b6073da)', 'Fixed the core issue causing all tests to fail (PrepareTestData working directory problem) in commit 5ad163a. The specific test was calling the wrong method (GetPhysicalFileFromServer instead of GetFileFromServer). Debugging the HTTP intercepting handler issue now.', 'Removed the PacketValidationDemo.cs file and reverted unrelated changes to GameLogic/GameServer/Pathfinding files. The demo tests were causing intentional failures and are no longer needed. The remaining packet validation tests (457 total) are now running with only 2 legitimate failures that have identified actual packet boundary issues in the packet definitions. See commit 81dc5ff.']"
114,9,114_route_i18n_groups_language,"['route', 'i18n', 'groups', 'language', 'french', 'everybody', 'evangelink', 'ide', 'piyush19', 'german']","['Sorry, route.ts is no longer needed 🙏', '@gupta-piyush19 The LLM messed up the translations here. In German, the second sentence should read [CODE] The other languages seem to have deteriorated as well (at least the French translation shows exactly the same issue).', 'the text is still wrong ### Advanced i18n with Route Groups Organize i18n routes using route groups for better structure: there are no route groups being used']"
